host_iso8601,host_unix_ns,elapsed_s,rx_interval_ms,record_type,estimated_x_cm,target_x_cm,estimated_vx_cm_s,motor_angle_deg,angle_command_deg,brake_p_offset_deg,terminal_offset_deg,brake_p_active,terminal_push_active,terminal_trim_active,terminal_brake_gate_active,sequence_stage,vision_age_ms,x_changed,x_unchanged_ms,raw_line
2026-09-23T01:02:57.765+08:00,1790096577765365000,0.142269,4.981,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,27,0,108.891,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,27"
2026-09-23T01:02:57.770+08:00,1790096577770347200,0.147252,4.982,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,31,0,113.873,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,31"
2026-09-23T01:02:57.775+08:00,1790096577775365300,0.152270,5.018,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,37,0,118.891,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,37"
2026-09-23T01:02:57.780+08:00,1790096577780436200,0.157327,5.057,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,41,0,123.949,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,41"
2026-09-23T01:02:57.785+08:00,1790096577785329700,0.162234,4.907,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,2,0,128.855,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,2"
2026-09-23T01:02:57.790+08:00,1790096577790450000,0.167340,5.106,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,3,0,133.961,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,3"
2026-09-23T01:02:57.795+08:00,1790096577795355500,0.172247,4.907,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,9,0,138.869,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,9"
2026-09-23T01:02:57.800+08:00,1790096577800310100,0.177214,4.967,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,13,0,143.836,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,13"
2026-09-23T01:02:57.805+08:00,1790096577805335900,0.182238,5.024,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,19,0,148.860,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,19"
2026-09-23T01:02:57.810+08:00,1790096577810293700,0.187198,4.960,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,23,0,153.820,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,23"
2026-09-23T01:02:57.815+08:00,1790096577815354200,0.192259,5.060,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,29,0,158.880,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,29"
2026-09-23T01:02:57.820+08:00,1790096577820318600,0.197206,4.947,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,33,0,163.827,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,33"
2026-09-23T01:02:57.825+08:00,1790096577825295300,0.202198,4.993,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,39,0,168.820,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,39"
2026-09-23T01:02:57.829+08:00,1790096577829415600,0.206320,4.122,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,43,0,172.941,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,43"
2026-09-23T01:02:57.835+08:00,1790096577835293500,0.212197,5.877,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,49,0,178.819,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,49"
2026-09-23T01:02:57.839+08:00,1790096577839398900,0.216304,4.106,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,3,0,182.925,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,3"
2026-09-23T01:02:57.844+08:00,1790096577844391100,0.221296,4.992,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,3,0,187.917,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,3"
2026-09-23T01:02:57.849+08:00,1790096577849365800,0.226271,4.975,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,5,0,192.892,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,5"
2026-09-23T01:02:57.854+08:00,1790096577854382800,0.231287,5.016,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,11,0,197.909,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,11"
2026-09-23T01:02:57.859+08:00,1790096577859483600,0.236379,5.092,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,15,0,203.000,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,15"
2026-09-23T01:02:57.864+08:00,1790096577864369700,0.241274,4.895,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,21,0,207.895,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,21"
2026-09-23T01:02:57.869+08:00,1790096577869359500,0.246249,4.975,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,25,0,212.870,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,25"
2026-09-23T01:02:57.874+08:00,1790096577874369400,0.251274,5.025,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,31,0,217.896,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,31"
2026-09-23T01:02:57.879+08:00,1790096577879351400,0.256256,4.981,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,35,0,222.877,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,35"
2026-09-23T01:02:57.884+08:00,1790096577884446100,0.261343,5.088,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,41,0,227.965,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,41"
2026-09-23T01:02:57.889+08:00,1790096577889332800,0.266238,4.894,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,2,0,232.859,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,2"
2026-09-23T01:02:57.894+08:00,1790096577894344000,0.271244,5.007,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,2,0,237.866,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,2"
2026-09-23T01:02:57.899+08:00,1790096577899316800,0.276221,4.977,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,6,0,242.843,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,6"
2026-09-23T01:02:57.904+08:00,1790096577904324600,0.281229,5.008,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,12,0,247.850,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,12"
2026-09-23T01:02:57.909+08:00,1790096577909300900,0.286204,4.976,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,16,0,252.826,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,16"
2026-09-23T01:02:57.914+08:00,1790096577914324600,0.291215,5.010,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,22,0,257.836,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,22"
2026-09-23T01:02:57.919+08:00,1790096577919292900,0.296194,4.979,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,26,0,262.815,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,26"
2026-09-23T01:02:57.924+08:00,1790096577924317200,0.301207,5.013,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,32,0,267.828,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,32"
