t,frame_seq,result_ready_t,capture_to_log_ms,inference_ms,refinement_ms,processing_ms,raw_x_cm,sent_x_cm,raw_vx_cm_s,sent_vx_cm_s,measurement_valid,tracking_valid,sent_valid,confidence,source,reason,actual_angle_deg,center_x_px,center_y_px,radius_px,measurement_x_cm,kalman_x_cm,kalman_vx_cm_s
4009.404227,28,4009.412888,8.6607,5.1479,0.0000,8.5606,,-10.7568,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.420293,29,4009.428884,8.5918,5.1686,0.0000,8.4421,,-10.7568,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.436067,30,4009.449969,13.9019,5.1646,0.4187,13.7865,-10.7620,-10.7620,0.0000,0.0000,1,1,1,0.5901,yolo_box,ok,12.0000,918.9531,71.9866,21.9877,-10.7620,-10.7620,0.0000
4009.452450,31,4009.460971,8.5213,5.1095,0.0000,8.4233,,-10.7620,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.468376,32,4009.482236,13.8599,5.1299,0.4206,13.7320,-10.7635,-10.7635,0.0000,0.0000,1,1,1,0.3924,yolo_box,ok,12.0000,919.0166,72.5096,21.9652,-10.7635,-10.7635,0.0000
4009.484406,33,4009.492923,8.5169,5.1428,0.0000,8.4205,,-10.7635,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.504102,34,4009.518884,14.7824,5.1404,0.4174,14.6084,-10.7599,-10.7599,0.0000,0.0000,1,1,1,0.3026,yolo_box,ok,12.0000,918.8628,72.4932,22.1067,-10.7599,-10.7599,0.0000
4009.520696,35,4009.534689,13.9935,5.1113,0.4481,13.8821,-10.7621,-10.7621,0.0000,0.0000,1,1,1,0.7133,yolo_box,ok,12.0000,918.9592,71.9538,21.7191,-10.7621,-10.7621,0.0000
4009.536426,36,4009.550382,13.9558,5.1574,0.4211,13.8367,-10.7488,-10.7488,0.0000,0.0000,1,1,1,0.2522,yolo_box,ok,12.0000,918.3829,71.4780,22.1764,-10.7488,-10.7488,0.0000
4009.552457,37,4009.567564,15.1072,5.1127,0.4136,14.9930,-10.7568,-10.7568,0.0000,0.0000,1,1,1,0.3453,yolo_box,ok,12.0000,918.7274,71.4000,21.9632,-10.7568,-10.7568,0.0000
4009.569240,38,4009.583267,14.0276,5.1284,0.4586,13.9172,-10.7552,-10.7552,0.0000,0.0000,1,1,1,0.4019,yolo_box,ok,12.0000,918.6597,71.2729,21.8914,-10.7552,-10.7552,0.0000
4009.585324,39,4009.602159,16.8351,5.2034,0.5991,16.5801,-10.7573,-10.7573,0.0000,0.0000,1,1,1,0.4398,yolo_box,ok,12.0000,918.7500,71.8635,21.5016,-10.7573,-10.7573,0.0000
4009.606611,40,4009.623050,16.4392,5.1219,0.6791,16.3117,-10.7599,-10.7599,0.0000,0.0000,1,1,1,0.3544,yolo_box,ok,12.0000,918.8648,71.8430,22.1006,-10.7599,-10.7599,0.0000
4009.621408,41,4009.638706,17.2979,6.0390,0.4909,15.3156,-10.7597,-10.7597,0.0000,0.0000,1,1,1,0.3468,yolo_box,ok,12.0000,918.8546,71.4472,22.0903,-10.7597,-10.7597,0.0000
4009.636698,42,4009.647410,10.7121,5.1251,0.0000,8.3455,,-10.7597,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.652097,43,4009.660525,8.4278,5.1192,0.0000,8.3251,,-10.7597,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.668793,44,4009.682881,14.0876,5.1276,0.4205,13.8590,-10.7566,-10.7566,0.0000,0.0000,1,1,1,0.4562,yolo_box,ok,12.0000,918.7213,71.7364,21.9693,-10.7566,-10.7566,0.0000
4009.684523,45,4009.698157,13.6345,5.1196,0.4208,13.5281,-10.7576,-10.7576,0.0000,0.0000,1,1,1,0.3590,yolo_box,ok,12.0000,918.7644,72.5506,21.8031,-10.7576,-10.7576,0.0000
4009.704095,46,4009.718575,14.4804,5.1172,0.4195,14.3679,-10.7680,-10.7680,0.0000,0.0000,1,1,1,0.2747,yolo_box,ok,12.0000,919.2155,71.0247,22.1600,-10.7680,-10.7680,0.0000
4009.720912,47,4009.729326,8.4138,5.1163,0.0000,8.3217,,-10.7680,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.736140,48,4009.750047,13.9072,5.1057,0.4195,13.7904,-10.7665,-10.7665,0.0000,0.0000,1,1,1,0.2840,yolo_box,ok,12.0000,919.1499,71.5272,21.8195,-10.7665,-10.7665,0.0000
